doc_id,	name,	surname,	acm_key
1005058, 'Ayhan', 'Demiriz', 'P23316'
1005395, 'Brandon', 'Bennett', 'P344167'
1005395, 'Antony', 'Galton', 'P679744'
1005397, 'Joohyung', 'Lee', 'P679746'
1005397, 'Vladimir', 'Lifschitz', 'P292055'
1005397, 'Hudson', 'Turner', 'P112684'
1005397, 'Varol', 'Akman', 'P290140'
1005397, 'Selim', 'Erdo&#487;an', 'P679750'
1005399, 'Eyal', 'Amir', 'P80094'
1005399, 'Pedrito', 'Maynard-Zhang', 'P679748'
1005453, 'Matt', 'DeVos', 'P194318'
1005453, 'Guoli', 'Ding', 'P100638'
1005453, 'Bogdan', 'Oporowski', 'P31429'
1005453, 'Daniel', 'Sanders', 'P59327'
1005453, 'Bruce', 'Reed', 'P33696'
1005453, 'Paul', 'Seymour', 'P222192'
1005453, 'Dirk', 'Vertigan', 'P67552'
1005726, 'Jennifer', 'Rexford', 'P138406'
1005726, 'Nick', 'Feamster', 'P433581'
1005726, 'Jared', 'Winick', 'P678745'
1006322, 'R.', 'Chen', 'P231269'
1006322, 'K.', 'Sivakumar', 'P155279'
1006322, 'H.', 'Kargupta', 'P404034'
1006412, 'Fazli', 'Can', 'P83843'
1006412, 'Rabia', 'Nuray', 'P574676'
1006412, 'Ayisigi', 'Sevdik', 'P679897'
1006425, 'Magnus', 'Wahlstr&#246;m', 'P679886'
1006427, 'Amotz', 'Bar-Noy', 'P16245'
1006427, 'Grzegorz', 'Malewicz', 'P383216'
1007454, 'J.', 'Hall', 'P465608'
1007454, 'K.', 'McKinnon', 'P154349'
1007523, 'David', 'Saff', 'P645290'
1007523, 'Michael', 'Ernst', 'P196905'
1007526, 'Willem', 'Visser', 'P298445'
1007526, 'Corina', 'P&#462;s&#462;reanu', 'P681239'
1007526, 'Sarfraz', 'Khurshid', 'P260283'
1007540, 'Michael', 'Ernst', 'P196905'
1007540, 'Lee', 'Lin', 'P681244'
1007547, 'Xiang', 'Fu', 'P502835'
1007547, 'Tevfik', 'Bultan', 'P279589'
1007547, 'Jianwen', 'Su', 'P139945'
1007763, 'Ramgopal', 'Mettu', 'P512806'
1007763, 'C.', 'Plaxton', 'P38192'
1007765, 'Avrim', 'Blum', 'P23213'
1007765, 'Nikhil', 'Bansal', 'P335019'
1007765, 'Shuchi', 'Chawla', 'P264652'
1007767, 'Rafail', 'Ostrovsky', 'P237569'
1007767, 'Yuval', 'Rabani', 'P308483'
1007767, 'Allan', 'Borodin', 'P15224'
1007852, 'Pavel', 'Vachal', 'P680451'
1007852, 'Rao', 'Garimella', 'P680453'
1007852, 'Mikhail', 'Shashkov', 'P200816'
1007924, 'C.', 'Plaxton', 'P38192'
1007924, 'Xiaozhou', 'Li', 'P335213'
1007924, 'Mitul', 'Tiwari', 'P202048'
1007924, 'Arun', 'Venkataramani', 'P338609'
1007977, 'Shin-Cheng', 'Mu', 'P493868'
1007977, 'Richard', 'Bird', 'P241462'
1008135, 'Jasper', 'van den Eshof', 'P506076'
1008135, 'Gerard', 'Sleijpen', 'P96668'
1008136, 'E.', 'Kokiopoulou', 'P328449'
1008136, 'C.', 'Bekas', 'P328413'
1008136, 'E.', 'Gallopoulos', 'P72001'
1008286, 'Zhiming', 'Liu', 'P310024'
1008286, 'Anders', 'Ravn', 'P16747'
1008286, 'Xiaoshan', 'Li', 'P502937'
1008415, 'Eric', 'Bach', 'P77876'
1008415, 'Joan', 'Boyar', 'P141562'
1008415, 'Leah', 'Epstein', 'P169955'
1008415, 'Lene', 'Favrholdt', 'P347182'
1008415, 'Tao', 'Jiang', 'P278382'
1008415, 'Kim', 'Larsen', 'P161635'
1008415, 'Guo-Hui', 'Lin', 'P100577'
1008415, 'Rob', 'Van Stee', 'P680721'
1008425, 'Michael', 'Goldwasser', 'P197152'
1008425, 'Boris', 'Kerbikov', 'P680719'
1008470, 'Danny', 'Raz', 'P59733'
1008470, 'Yuval', 'Shavitt', 'P308488'
1008470, 'Lixia', 'Zhang', 'P172713'
1008818, 'Eiichiro', 'Fujisaki', 'P454364'
1008818, 'Tatsuaki', 'Okamoto', 'P278611'
1008818, 'David', 'Pointcheval', 'P63341'
1008818, 'Jacques', 'Stern', 'P131103'
1009027, 'Oren', 'Kurland', 'P683419'
1009027, 'Lillian', 'Lee', 'P171756'
1009186, 'Joachim', 'Biskup', 'P141425'
1009186, 'Jan', 'Paredaens', 'P134246'
1009186, 'Thomas', 'Schwentick', 'P281612'
1009186, 'Jan', 'Van den Bussche', 'P134379'
